Estado,Municipio,Localidad,Nombre de la Planta,Capacidad Inst.,Caudal Potabilizado,Proceso Potabilizaci¢n
COAHUILA DE ZARAGOZA,Saltillo,PRESA DE LOS MUCHACHOS,Presa de los Muchachos,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Saltillo,PUNTA SANTA ELENA,Punta de Santa Elena,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Saltillo,"RAYADO, EL",EL RAYADO ,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Saltillo,Saltillo,Benito Juarez,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Saltillo,SAN FRANCISCO DEL EJIDO,San Francisco del Ejido,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Saltillo,SAN JUAN DEL RETIRO,SAN JUAN DEL RETIRO,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Saltillo,SANTA ELENA (ESTACION SANTA ELENA),SANTA ELENA,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Saltillo,SANTA TERESA DE LOS MUCHACHOS,Sta. Teresa de los Muchachos,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Saltillo,SEBASTIAN TORRES ALCALA (CERRO GÜERO),San Sebast¡an,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Saltillo,TANQUE ESCONDIDO,TANQUE ESCONDIDO,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Saltillo,TINAJUELA,Tinajuela,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Saltillo,"VENTURA, LA",La Ventura 20 de Noviembre,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,San Buenaventura,"GUADALUPE VICTORIA (CERRITO, EL)",Guadalupe Victoria (El Cerrito,0.12,0.12,Osmosis Inversa
